tipo,autonomia,provincia,matricula,causa,poblacion,fechahora_ini,nivel,carretera,pk_inicial,pk_final,sentido,longitud,latitud, cluster
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-10 08:45:33,Amarillo,AP-68,52,52,ZARAGOZA,-2.894033,42.83658,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-09 17:51:39,Amarillo,N-240,11,11,VITORIA-GASTEIZ,-2.64338,42.93479,9
Obras,Euskadi,ARABA,VI,Obras,Zuia,2006-11-09 09:55:41,Amarillo,AP-68,44,44,ZARAGOZA,-2.89711,42.90756,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-09 08:13:15,Blanco,AP-68,53,53,BILBAO,-2.89528,42.82766,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-09 07:44:18,Blanco,AP-68,51,51,ZARAGOZA,-2.89297,42.84566,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-08 09:00:06,Blanco,AP-68,64,64,ZARAGOZA,-2.91497,42.74139,111
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-08 09:00:06,Blanco,AP-68,64,64,ZARAGOZA,-2.91497,42.74139,111
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-08 09:00:06,Amarillo,AP-68,52,52,ZARAGOZA,-2.894033,42.83658,-1
Obras,Euskadi,ARABA,VI,Obras,Legutiano,2006-11-08 17:54:34,Blanco,N-240,12,12,BILBAO,-2.63942,42.94333,13
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-08 09:00:06,Amarillo,AP-68,52,52,ZARAGOZA,-2.894033,42.83658,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-07 08:49:28,Blanco,AP-68,59,59,ZARAGOZA,-2.90581,42.7806,31
Obras,Euskadi,ARABA,VI,Obras,Ribera Alta,2006-11-07 08:49:28,Blanco,AP-68,52,52,ZARAGOZA,-2.894033,42.83658,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-07 08:49:28,Blanco,AP-68,52,52,ZARAGOZA,-2.894033,42.83658,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-07 08:49:28,Amarillo,AP-68,52,52,ZARAGOZA,-2.894033,42.83658,-1
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-06 08:14:24,Blanco,AP-68,59,59,ZARAGOZA,-2.90581,42.7806,31
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-06 11:03:01,Blanco,AP-68,35,35,ZARAGOZA,-2.877197,42.97503,97
Obras,Euskadi,ARABA,VI,Obras,None,2006-11-06 08:14:24,Amarillo,AP-68,59,59,ZARAGOZA,-2.90581,42.7806,31
Obras,Euskadi,ARABA,VI,Obras,Armiñón,2006-10-17 09:57:47,Blanco,N-1,323,329,IRÚN,-2.909908,42.70812,69
Obras,Euskadi,ARABA,VI,Obras,Zambrana,2006-10-26 09:42:19,Blanco,AP-68,69,69,BILBAO,-2.90099,42.70471,81
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-11-02 08:14:48,Blanco,AP-68,52,52,ZARAGOZA,-2.894033,42.83658,-1
Obras,Euskadi,ARABA,VI,Obras,Ribera Baja/Erribera Beitia,2006-11-02 08:14:48,Blanco,AP-68,52,52,ZARAGOZA,-2.894033,42.83658,-1
